model,split,corr_mse,mae,rmse,r2,n_obs,n_products
per_product_loglog,train,0.10215314827749557,0.25241728986444445,0.3394211029457399,0.3864036372460039,11708,1218
per_product_loglog,val,0.1096706897468474,0.35095879524375373,0.48139156663792954,-0.06355476143375038,3392,888
per_product_loglog,test,0.10858150012192742,0.39404589579940014,0.5787135311235118,-0.9133733806316899,2870,739
pooled_loglog,train,0.12179244825913353,0.31319727665841424,0.4012877383862241,0.14233660386963642,11708,1218
pooled_loglog,val,0.10320181302404674,0.33991518273091875,0.43018213726379295,0.1506872444884142,3392,888
pooled_loglog,test,0.10253733592233118,0.37841336717454394,0.5064025819232684,-0.46508990680139184,2870,739
pooled_loglog_FE,train,0.11435527598892763,0.25209593688865223,0.3381645693873438,0.3909382833777222,11708,1218
pooled_loglog_FE,val,0.10047769329047812,0.30423258099845796,0.4135936266902388,0.2149260329459135,3392,888
pooled_loglog_FE,test,0.09805584303671867,0.32715194771635986,0.46126241267012114,-0.21553812925306026,2870,739
xgboost,train,0.07149293816386454,0.21934216369576584,0.27891157754046697,0.5856778229626649,11708,1218
xgboost,val,0.09862598963320121,0.28280189930010935,0.36069220131010066,0.402914663833534,3392,888
xgboost,test,0.0963631111130868,0.28338871210703964,0.36485119289895007,0.23949163564927456,2870,739
