category,n_products,spearman_r,p_value,significant
office_furniture,26,-0.7031421310222361,6.167477310326715e-05,True
perfumery,24,-0.6309837028542707,0.0009462656831441495,True
furniture_decor,40,-0.5167965643136925,0.0006396358088797339,True
bed_bath_table,95,-0.5071019593651783,1.570105512634499e-07,True
watches_gifts,48,-0.4643811098242954,0.0008844552844451724,True
baby,22,-0.4088351607018152,0.05886576059227267,False
housewares,36,-0.3949731199145385,0.017123486647780906,True
computers_accessories,57,-0.39467711003592476,0.0023807052176782863,True
telephony,38,-0.3065541838264306,0.06121308120426224,False
electronics,35,-0.28707607574011884,0.09450668059679991,False
cool_stuff,27,-0.2574139357071155,0.1948914276163798,False
health_beauty,63,-0.25500004342007415,0.04370103239600721,True
sports_leisure,54,-0.2139069612207686,0.1203882393345548,False
toys,26,-0.1930516531706002,0.3447143628524961,False
